label,estimate,margin of error
Total,"133,564","±3,065"
"Less than $10,000",5.4%,±1.4
"$10,000 to $14,999",3.9%,±1.3
"$15,000 to $24,999",4.9%,±1.0
"$25,000 to $34,999",6.8%,±1.4
"$35,000 to $49,999",8.8%,±1.5
"$50,000 to $74,999",17.7%,±2.0
"$75,000 to $99,999",12.8%,±1.8
"$100,000 to $149,999",19.6%,±1.9
"$150,000 to $199,999",8.5%,±1.3
"$200,000 or more",11.5%,±1.6
Median income (dollars),"79,254","±5,772"
Mean income (dollars),"104,238","±5,643"
PERCENT ALLOCATED,,
Household income in the past 12 months,25.7%,(X)
Family income in the past 12 months,(X),(X)
Nonfamily income in the past 12 months,(X),(X)
