lable,estimate,margin of error
Total,"28,311",±712
"Less than $10,000",5.10%,±1.1
"$10,000 to $14,999",5.30%,±1.1
"$15,000 to $24,999",5.20%,±0.9
"$25,000 to $34,999",8.30%,±1.5
"$35,000 to $49,999",12.60%,±1.6
"$50,000 to $74,999",19.80%,±2.1
"$75,000 to $99,999",14.60%,±2.1
"$100,000 to $149,999",17.80%,±1.8
"$150,000 to $199,999",7.20%,±1.2
"$200,000 or more",4.10%,±0.8
Median income (dollars),"67,611","±4,132"
Mean income (dollars),"83,065","±4,213"
PERCENT ALLOCATED,,
Household income in the past 12 months,32.50%,(X)
Family income in the past 12 months,(X),(X)
Nonfamily income in the past 12 months,(X),(X)
